SI_DO_NAME,SI_GUN_GU_NAME,UP_MYUN_DONG_NAME,final_category,final_score,final_general
인천광역시,남동구,논현동,OFFICE,0.67055,False
경기도,수원시 팔달구,신풍동,RESIDENTIAL,0.6567700000000001,False
충청남도,천안시 동남구,신부동,GENERAL,0.5534235294117648,False
경기도,양주시,옥정동,RESIDENTIAL,0.6598999999999999,False
경기도,성남시 분당구,구미동,OFFICE,0.7161500000000001,False
서울특별시,도봉구,창동,RESIDENTIAL,0.58524,False
인천광역시,연수구,동춘동,OFFICE,0.6791666666666667,False
경기도,용인시 처인구,역북동,CAMPUS,0.6604,False
부산광역시,사상구,괘법동,OFFICE,0.6516,False
경기도,광명시,일직동,OFFICE,0.7304,False
제주특별자치도,서귀포시,표선면,TOURIST,0.7314,False
서울특별시,영등포구,당산동3가,OFFICE,0.70035,False
서울특별시,강남구,압구정동,PREMIUM,0.6932,False
서울특별시,성북구,동선동1가,CAMPUS,0.638,False
광주광역시,광산구,월계동,GENERAL,0.5570238095238095,False
대구광역시,중구,삼덕동3가,NIGHTLIFE,0.6647,False
서울특별시,중구,북창동,NIGHTLIFE,0.6285866666666667,False
서울특별시,중구,남대문로5가,NIGHTLIFE,0.6285866666666667,False
경기도,수원시 권선구,금곡동,RESIDENTIAL,0.6451,False
충청북도,청주시 흥덕구,복대동,CAMPUS,0.63315,False
경기도,성남시 분당구,수내동,RESIDENTIAL,0.7448,False
경기도,화성시,오산동,RESIDENTIAL,0.6154137931034483,False
충청북도,청주시 청원구,오창읍,OFFICE,0.6441,False
서울특별시,마포구,용강동,CAMPUS,0.5685,True
서울특별시,종로구,통인동,TOURIST,0.6479647058823529,False
경기도,남양주시,화도읍,OFFICE,0.7078,False
대전광역시,서구,탄방동,RESIDENTIAL,0.6567,False
제주특별자치도,제주시,삼도이동,TOURIST,0.6590692307692307,False
부산광역시,북구,화명동,RESIDENTIAL,0.6857666666666667,False
대전광역시,서구,갈마동,NIGHTLIFE,0.6364,False
서울특별시,성동구,마장동,CAMPUS,0.5172,True
서울특별시,성북구,동선동2가,CAMPUS,0.638,False
경기도,수원시 영통구,원천동,RESIDENTIAL,0.6793,False
부산광역시,사하구,하단동,GENERAL,0.50735,False
대구광역시,중구,삼덕동1가,NIGHTLIFE,0.6647,False
서울특별시,강남구,일원동,OFFICE,0.61965,False
부산광역시,남구,용호동,CAMPUS,0.614025,False
경기도,화성시,송동,RESIDENTIAL,0.6154137931034483,False
인천광역시,서구,가정동,RESIDENTIAL,0.7044666666666667,False
